doc_id,sentence_id,start_token,pos_ngram,phrase,book,chapter,section,macro_genre
Isaiah_1,1,1,DET_PRON_PRON_VERB_VERB,THE which he saw concerning,Isaiah,1,Isaiah_1_35,Prophetic
Isaiah_1,1,10,PRON_PRON_VERB_VERB_PROPN,which he saw concerning Judah,Isaiah,1,Isaiah_1_35,Prophetic
Isaiah_1,1,11,PRON_VERB_VERB_PROPN_CCONJ,he saw concerning Judah and,Isaiah,1,Isaiah_1_35,Prophetic
Isaiah_1,1,12,VERB_VERB_PROPN_CCONJ_PROPN,saw concerning Judah and Jerusalem,Isaiah,1,Isaiah_1_35,Prophetic
Isaiah_1,1,13,VERB_PROPN_CCONJ_PROPN_ADP,concerning Judah and Jerusalem in,Isaiah,1,Isaiah_1_35,Prophetic
Isaiah_1,1,14,PROPN_CCONJ_PROPN_ADP_DET,Judah and Jerusalem in the,Isaiah,1,Isaiah_1_35,Prophetic
Isaiah_1,1,15,CCONJ_PROPN_ADP_DET_NOUN,and Jerusalem in the days,Isaiah,1,Isaiah_1_35,Prophetic
Isaiah_1,1,16,PROPN_ADP_DET_NOUN_NOUN,Jerusalem in the days vision,Isaiah,1,Isaiah_1_35,Prophetic
Isaiah_1,1,17,ADP_DET_NOUN_NOUN_ADP,in the days vision of,Isaiah,1,Isaiah_1_35,Prophetic
Isaiah_1,1,18,DET_NOUN_NOUN_ADP_PROPN,the days vision of Uzziah,Isaiah,1,Isaiah_1_35,Prophetic
Isaiah_1,1,19,NOUN_NOUN_ADP_PROPN_PUNCT,"days vision of Uzziah ,",Isaiah,1,Isaiah_1_35,Prophetic
Isaiah_1,1,2,NOUN_ADP_PROPN_PUNCT_PROPN,"vision of Uzziah , Jotham",Isaiah,1,Isaiah_1_35,Prophetic
Isaiah_1,1,20,ADP_PROPN_PUNCT_PROPN_PUNCT,"of Uzziah , Jotham ,",Isaiah,1,Isaiah_1_35,Prophetic
Isaiah_1,1,21,PROPN_PUNCT_PROPN_PUNCT_PROPN,"Uzziah , Jotham , Ahaz",Isaiah,1,Isaiah_1_35,Prophetic
Isaiah_1,1,22,PUNCT_PROPN_PUNCT_PROPN_PUNCT,", Jotham , Ahaz ,",Isaiah,1,Isaiah_1_35,Prophetic
Isaiah_1,1,23,PROPN_PUNCT_PROPN_PUNCT_CCONJ,"Jotham , Ahaz , and",Isaiah,1,Isaiah_1_35,Prophetic
Isaiah_1,1,24,PUNCT_PROPN_PUNCT_CCONJ_PROPN,", Ahaz , and Hezekiah",Isaiah,1,Isaiah_1_35,Prophetic
Isaiah_1,1,25,PROPN_PUNCT_CCONJ_PROPN_PUNCT,"Ahaz , and Hezekiah ,",Isaiah,1,Isaiah_1_35,Prophetic
Isaiah_1,1,26,PUNCT_CCONJ_PROPN_PUNCT_ADP,", and Hezekiah , of",Isaiah,1,Isaiah_1_35,Prophetic
Isaiah_1,1,27,CCONJ_PROPN_PUNCT_ADP_NOUN,"and Hezekiah , of kings",Isaiah,1,Isaiah_1_35,Prophetic
Isaiah_1,1,28,PROPN_PUNCT_ADP_NOUN_ADP,"Hezekiah , of kings of",Isaiah,1,Isaiah_1_35,Prophetic
Isaiah_1,1,29,PUNCT_ADP_NOUN_ADP_PROPN,", of kings of Judah",Isaiah,1,Isaiah_1_35,Prophetic
Isaiah_1,1,3,ADP_NOUN_ADP_PROPN_PUNCT,of kings of Judah .,Isaiah,1,Isaiah_1_35,Prophetic
Isaiah_1,1,30,NOUN_ADP_PROPN_PUNCT_PROPN,kings of Judah . Isaiah,Isaiah,1,Isaiah_1_35,Prophetic
Isaiah_1,1,31,ADP_PROPN_PUNCT_PROPN_DET,of Judah . Isaiah the,Isaiah,1,Isaiah_1_35,Prophetic
Isaiah_1,1,32,PROPN_PUNCT_PROPN_DET_NOUN,Judah . Isaiah the son,Isaiah,1,Isaiah_1_35,Prophetic
Isaiah_1,1,33,PUNCT_PROPN_DET_NOUN_ADP,. Isaiah the son of,Isaiah,1,Isaiah_1_35,Prophetic
Isaiah_1,1,4,PROPN_DET_NOUN_ADP_PROPN,Isaiah the son of Amoz,Isaiah,1,Isaiah_1_35,Prophetic
Isaiah_1,1,5,DET_NOUN_ADP_PROPN_PUNCT,"the son of Amoz ,",Isaiah,1,Isaiah_1_35,Prophetic
Isaiah_1,2,1,PROPN_ADP_NOUN_PUNCT_ADP,Hear O earth : for,Isaiah,1,Isaiah_1_35,Prophetic
Isaiah_1,2,10,ADP_NOUN_PUNCT_ADP_DET,O earth : for the,Isaiah,1,Isaiah_1_35,Prophetic
Isaiah_1,2,11,NOUN_PUNCT_ADP_DET_ADJ,earth : for the LORD,Isaiah,1,Isaiah_1_35,Prophetic
Isaiah_1,2,12,PUNCT_ADP_DET_ADJ_NOUN,: for the LORD hath,Isaiah,1,Isaiah_1_35,Prophetic
Isaiah_1,2,13,ADP_DET_ADJ_NOUN_VERB,for the LORD hath spoken,Isaiah,1,Isaiah_1_35,Prophetic
Isaiah_1,2,14,DET_ADJ_NOUN_VERB_PUNCT,"the LORD hath spoken ,",Isaiah,1,Isaiah_1_35,Prophetic
Isaiah_1,2,15,ADJ_NOUN_VERB_PUNCT_PRON,"LORD hath spoken , I",Isaiah,1,Isaiah_1_35,Prophetic
Isaiah_1,2,16,NOUN_VERB_PUNCT_PRON_PUNCT,"hath spoken , I ,",Isaiah,1,Isaiah_1_35,Prophetic
Isaiah_1,2,17,VERB_PUNCT_PRON_PUNCT_AUX,"spoken , I , have",Isaiah,1,Isaiah_1_35,Prophetic
Isaiah_1,2,18,PUNCT_PRON_PUNCT_AUX_VERB,", I , have nourished",Isaiah,1,Isaiah_1_35,Prophetic
Isaiah_1,2,19,PRON_PUNCT_AUX_VERB_CCONJ,"I , have nourished and",Isaiah,1,Isaiah_1_35,Prophetic
Isaiah_1,2,2,PUNCT_AUX_VERB_CCONJ_VERB,", have nourished and brought",Isaiah,1,Isaiah_1_35,Prophetic
Isaiah_1,2,20,AUX_VERB_CCONJ_VERB_ADP,have nourished and brought up,Isaiah,1,Isaiah_1_35,Prophetic
Isaiah_1,2,21,VERB_CCONJ_VERB_ADP_NOUN,nourished and brought up children,Isaiah,1,Isaiah_1_35,Prophetic
Isaiah_1,2,22,CCONJ_VERB_ADP_NOUN_PUNCT,"and brought up children ,",Isaiah,1,Isaiah_1_35,Prophetic
Isaiah_1,2,23,VERB_ADP_NOUN_PUNCT_CCONJ,"brought up children , and",Isaiah,1,Isaiah_1_35,Prophetic
Isaiah_1,2,24,ADP_NOUN_PUNCT_CCONJ_PRON,"up children , and they",Isaiah,1,Isaiah_1_35,Prophetic
Isaiah_1,2,25,NOUN_PUNCT_CCONJ_PRON_AUX,"children , and they have",Isaiah,1,Isaiah_1_35,Prophetic
Isaiah_1,2,26,PUNCT_CCONJ_PRON_AUX_ADP,", and they have O",Isaiah,1,Isaiah_1_35,Prophetic
Isaiah_1,2,27,CCONJ_PRON_AUX_ADP_VERB,and they have O rebelled,Isaiah,1,Isaiah_1_35,Prophetic
Isaiah_1,2,28,PRON_AUX_ADP_VERB_ADP,they have O rebelled against,Isaiah,1,Isaiah_1_35,Prophetic
Isaiah_1,2,29,AUX_ADP_VERB_ADP_PRON,have O rebelled against me,Isaiah,1,Isaiah_1_35,Prophetic
Isaiah_1,2,3,ADP_VERB_ADP_PRON_PUNCT,O rebelled against me .,Isaiah,1,Isaiah_1_35,Prophetic
Isaiah_1,2,30,VERB_ADP_PRON_PUNCT_NOUN,rebelled against me . heavens,Isaiah,1,Isaiah_1_35,Prophetic
Isaiah_1,2,31,ADP_PRON_PUNCT_NOUN_PUNCT,"against me . heavens ,",Isaiah,1,Isaiah_1_35,Prophetic
Isaiah_1,2,32,PRON_PUNCT_NOUN_PUNCT_CCONJ,"me . heavens , and",Isaiah,1,Isaiah_1_35,Prophetic
Isaiah_1,2,33,PUNCT_NOUN_PUNCT_CCONJ_VERB,". heavens , and give",Isaiah,1,Isaiah_1_35,Prophetic
Isaiah_1,2,4,NOUN_PUNCT_CCONJ_VERB_NOUN,"heavens , and give ear",Isaiah,1,Isaiah_1_35,Prophetic
Isaiah_1,2,5,PUNCT_CCONJ_VERB_NOUN_PUNCT,", and give ear ,",Isaiah,1,Isaiah_1_35,Prophetic
Isaiah_1,3,1,DET_PRON_NOUN_PART_NOUN,The his master 's crib,Isaiah,1,Isaiah_1_35,Prophetic
Isaiah_1,3,10,PRON_NOUN_PART_NOUN_PUNCT,his master 's crib :,Isaiah,1,Isaiah_1_35,Prophetic
Isaiah_1,3,11,NOUN_PART_NOUN_PUNCT_CCONJ,master 's crib : but,Isaiah,1,Isaiah_1_35,Prophetic
Isaiah_1,3,12,PART_NOUN_PUNCT_CCONJ_PROPN,'s crib : but Israel,Isaiah,1,Isaiah_1_35,Prophetic
Isaiah_1,3,13,NOUN_PUNCT_CCONJ_PROPN_PROPN,crib : but Israel doth,Isaiah,1,Isaiah_1_35,Prophetic
Isaiah_1,3,14,PUNCT_CCONJ_PROPN_PROPN_PART,: but Israel doth not,Isaiah,1,Isaiah_1_35,Prophetic
Isaiah_1,3,15,CCONJ_PROPN_PROPN_PART_VERB,but Israel doth not know,Isaiah,1,Isaiah_1_35,Prophetic
Isaiah_1,3,16,PROPN_PROPN_PART_VERB_NOUN,Israel doth not know ox,Isaiah,1,Isaiah_1_35,Prophetic
Isaiah_1,3,17,PROPN_PART_VERB_NOUN_PUNCT,"doth not know ox ,",Isaiah,1,Isaiah_1_35,Prophetic
Isaiah_1,3,18,PART_VERB_NOUN_PUNCT_PRON,"not know ox , my",Isaiah,1,Isaiah_1_35,Prophetic
Isaiah_1,3,19,VERB_NOUN_PUNCT_PRON_NOUN,"know ox , my people",Isaiah,1,Isaiah_1_35,Prophetic
